iter	Passed	Remaining
0	4	3480
1	7	3058
2	11	2944
3	14	2884
4	17	2832
5	21	2803
6	24	2782
7	27	2769
8	31	2749
9	34	2735
10	38	2728
11	41	2712
12	44	2707
13	48	2699
14	51	2688
15	54	2680
16	58	2671
17	61	2663
18	64	2655
19	67	2651
20	70	2606
21	73	2600
22	77	2602
23	80	2598
24	83	2597
25	87	2595
26	90	2591
27	93	2587
28	97	2586
29	100	2584
30	104	2582
31	107	2578
32	110	2573
33	114	2573
34	117	2570
35	121	2569
36	124	2566
37	127	2563
38	131	2560
39	134	2557
40	138	2557
41	141	2553
42	144	2551
43	148	2547
44	151	2545
45	155	2541
46	158	2538
47	161	2533
48	165	2531
49	168	2528
50	172	2526
51	175	2523
52	178	2520
53	182	2516
54	185	2514
55	189	2512
56	192	2508
57	195	2505
58	199	2504
59	202	2501
60	206	2497
61	209	2494
62	213	2492
63	216	2488
64	219	2485
65	223	2483
66	226	2478
67	229	2475
68	233	2471
69	236	2468
70	240	2465
71	243	2463
72	247	2460
73	250	2458
74	253	2455
75	257	2451
76	260	2448
77	264	2444
78	267	2441
79	270	2438
80	274	2435
81	277	2432
82	281	2428
83	284	2425
84	288	2422
85	291	2419
86	294	2416
87	298	2412
88	301	2409
89	304	2405
90	308	2402
91	311	2399
92	315	2396
93	318	2393
94	322	2389
95	325	2386
96	328	2383
97	332	2379
98	335	2377
99	339	2373
100	342	2369
101	345	2366
102	349	2362
103	352	2359
104	355	2356
105	359	2352
106	362	2349
107	366	2345
108	369	2342
109	371	2330
110	374	2326
111	378	2323
112	381	2320
113	385	2316
114	388	2313
115	391	2310
116	395	2307
117	398	2304
118	402	2301
119	405	2297
120	408	2294
121	412	2291
122	415	2287
123	419	2285
124	422	2281
125	425	2278
126	429	2275
127	432	2272
128	436	2269
129	439	2266
130	443	2263
131	446	2259
132	449	2255
133	453	2252
134	456	2249
135	460	2246
136	463	2243
137	466	2239
138	470	2236
139	473	2232
140	476	2229
141	480	2225
142	483	2221
143	487	2218
144	490	2215
145	493	2211
146	497	2208
147	500	2205
148	504	2202
149	507	2199
150	510	2195
151	514	2192
152	517	2189
153	521	2185
154	524	2182
155	527	2179
156	531	2175
157	534	2172
158	538	2169
159	541	2166
160	544	2162
161	548	2159
162	551	2156
163	555	2152
164	558	2149
165	561	2146
166	565	2142
167	568	2139
168	572	2136
169	575	2132
170	578	2129
171	582	2126
172	585	2122
173	589	2119
174	592	2116
175	595	2112
176	599	2109
177	602	2105
178	606	2102
179	609	2099
180	612	2096
181	616	2092
182	619	2089
183	623	2086
184	626	2083
185	629	2079
186	633	2076
187	636	2072
188	640	2069
189	643	2065
190	646	2062
191	650	2059
192	653	2056
193	657	2052
194	660	2049
195	663	2045
196	667	2042
197	670	2038
198	673	2035
199	677	2031
200	680	2028
201	684	2025
202	687	2021
203	690	2018
204	694	2014
205	697	2011
206	701	2008
207	704	2004
208	707	2001
209	711	1998
210	714	1994
211	718	1991
212	721	1988
213	724	1984
214	728	1981
215	731	1978
216	735	1974
217	738	1971
218	741	1967
219	745	1964
220	748	1961
221	751	1957
222	755	1954
223	758	1951
224	762	1947
225	765	1943
226	768	1940
227	772	1937
228	775	1933
229	778	1930
230	782	1927
231	785	1924
232	789	1920
233	792	1917
234	796	1914
235	799	1910
236	802	1906
237	806	1903
238	809	1899
239	812	1896
240	816	1893
241	819	1889
242	822	1886
243	826	1882
244	829	1879
245	833	1876
246	836	1872
247	839	1869
248	843	1865
249	846	1862
250	849	1858
251	853	1855
252	856	1852
253	860	1848
254	863	1845
255	866	1841
256	870	1838
257	873	1835
258	876	1831
259	880	1828
260	883	1824
261	887	1821
262	890	1818
263	893	1814
264	897	1811
265	900	1808
266	903	1804
267	907	1801
268	910	1797
269	914	1794
270	917	1791
271	920	1787
272	924	1784
273	927	1780
274	931	1777
275	934	1774
276	937	1770
277	941	1767
278	944	1764
279	948	1760
280	951	1757
281	954	1753
282	958	1750
283	961	1747
284	965	1743
285	968	1740
286	971	1736
287	975	1733
288	978	1730
289	982	1726
290	985	1723
291	988	1720
292	992	1716
293	995	1713
294	998	1709
295	1002	1706
296	1005	1703
297	1008	1699
298	1012	1696
299	1015	1692
300	1019	1689
301	1022	1685
302	1025	1682
303	1029	1679
304	1032	1675
305	1035	1672
306	1039	1668
307	1042	1665
308	1046	1662
309	1049	1658
310	1052	1655
311	1056	1652
312	1059	1648
313	1063	1645
314	1066	1642
315	1069	1638
316	1073	1635
317	1076	1631
318	1080	1628
319	1083	1625
320	1086	1621
321	1090	1618
322	1093	1614
323	1096	1611
324	1100	1607
325	1103	1604
326	1106	1600
327	1110	1597
328	1113	1594
329	1116	1590
330	1120	1587
331	1123	1584
332	1127	1580
333	1130	1577
334	1133	1573
335	1137	1570
336	1140	1567
337	1144	1563
338	1147	1560
339	1150	1556
340	1154	1553
341	1157	1550
342	1161	1546
343	1164	1543
344	1167	1540
345	1171	1536
346	1174	1533
347	1177	1529
348	1181	1526
349	1184	1523
350	1188	1519
351	1191	1516
352	1194	1512
353	1198	1509
354	1201	1506
355	1205	1502
356	1208	1499
357	1211	1496
358	1215	1492
359	1218	1489
360	1222	1486
361	1225	1482
362	1228	1479
363	1232	1475
364	1235	1472
365	1239	1469
366	1242	1465
367	1245	1462
368	1249	1459
369	1252	1455
370	1255	1452
371	1259	1448
372	1262	1445
373	1266	1442
374	1269	1438
375	1272	1435
376	1276	1431
377	1279	1428
378	1282	1425
379	1286	1421
380	1289	1418
381	1293	1414
382	1296	1411
383	1299	1408
384	1303	1404
385	1306	1401
386	1310	1398
387	1313	1394
388	1316	1391
389	1320	1387
390	1323	1384
391	1326	1380
392	1330	1377
393	1333	1374
394	1337	1370
395	1340	1367
396	1343	1364
397	1347	1360
398	1350	1357
399	1354	1354
400	1357	1350
401	1360	1347
402	1364	1343
403	1367	1340
404	1370	1337
405	1374	1333
406	1377	1330
407	1381	1327
408	1384	1323
409	1387	1320
410	1391	1316
411	1394	1313
412	1398	1310
413	1401	1306
414	1404	1303
415	1408	1299
416	1411	1296
417	1414	1293
418	1418	1289
419	1421	1286
420	1425	1283
421	1428	1279
422	1431	1276
423	1435	1272
424	1438	1269
425	1442	1266
426	1445	1262
427	1448	1259
428	1452	1256
429	1455	1252
430	1459	1249
431	1462	1245
432	1465	1242
433	1469	1239
434	1472	1235
435	1475	1232
436	1479	1228
437	1482	1225
438	1486	1222
439	1489	1218
440	1492	1215
441	1496	1211
442	1499	1208
443	1503	1205
444	1506	1201
445	1509	1198
446	1513	1195
447	1516	1191
448	1520	1188
449	1523	1185
450	1526	1181
451	1530	1178
452	1533	1174
453	1537	1171
454	1540	1168
455	1543	1164
456	1547	1161
457	1550	1157
458	1554	1154
459	1557	1151
460	1560	1147
461	1564	1144
462	1567	1141
463	1571	1137
464	1574	1134
465	1577	1130
466	1581	1127
467	1584	1124
468	1588	1120
469	1591	1117
470	1594	1113
471	1598	1110
472	1601	1107
473	1604	1103
474	1608	1100
475	1611	1096
476	1614	1093
477	1618	1090
478	1621	1086
479	1625	1083
480	1628	1080
481	1632	1076
482	1635	1073
483	1638	1070
484	1642	1066
485	1645	1063
486	1648	1059
487	1652	1056
488	1655	1053
489	1659	1049
490	1662	1046
491	1665	1042
492	1669	1039
493	1672	1036
494	1676	1032
495	1679	1029
496	1682	1026
497	1686	1022
498	1689	1019
499	1693	1015
500	1696	1012
501	1699	1009
502	1703	1005
503	1706	1002
504	1710	999
505	1713	995
506	1717	992
507	1720	988
508	1723	985
509	1727	982
510	1730	978
511	1733	975
512	1737	971
513	1740	968
514	1744	965
515	1747	961
516	1750	958
517	1754	954
518	1757	951
519	1760	948
520	1764	944
521	1767	941
522	1771	938
523	1774	934
524	1778	931
525	1781	928
526	1784	924
527	1788	921
528	1791	917
529	1794	914
530	1798	911
531	1801	907
532	1805	904
533	1808	900
534	1811	897
535	1815	894
536	1818	890
537	1821	887
538	1825	883
539	1828	880
540	1831	877
541	1835	873
542	1838	870
543	1842	866
544	1845	863
545	1848	860
546	1852	856
547	1855	853
548	1858	849
549	1862	846
550	1865	843
551	1869	839
552	1872	836
553	1875	832
554	1879	829
555	1882	826
556	1886	822
557	1889	819
558	1892	816
559	1896	812
560	1899	809
561	1903	805
562	1906	802
563	1909	799
564	1913	795
565	1916	792
566	1920	789
567	1923	785
568	1926	782
569	1930	778
570	1933	775
571	1936	772
572	1940	768
573	1943	765
574	1947	761
575	1950	758
576	1953	755
577	1957	751
578	1960	748
579	1963	744
580	1967	741
581	1970	738
582	1974	734
583	1977	731
584	1980	728
585	1984	724
586	1987	721
587	1991	717
588	1994	714
589	1997	711
590	2001	707
591	2004	704
592	2007	700
593	2011	697
594	2014	694
595	2017	690
596	2021	687
597	2024	683
598	2028	680
599	2031	677
600	2034	673
601	2038	670
602	2041	667
603	2045	663
604	2048	660
605	2051	656
606	2055	653
607	2058	650
608	2062	646
609	2065	643
610	2068	639
611	2072	636
612	2075	633
613	2078	629
614	2082	626
615	2085	622
616	2088	619
617	2092	616
618	2095	612
619	2099	609
620	2102	606
621	2105	602
622	2109	599
623	2112	595
624	2116	592
625	2119	589
626	2122	585
627	2126	582
628	2129	578
629	2133	575
630	2136	572
631	2139	568
632	2143	565
633	2146	562
634	2150	558
635	2153	555
636	2156	551
637	2160	548
638	2163	545
639	2166	541
640	2170	538
641	2173	534
642	2177	531
643	2180	528
644	2183	524
645	2187	521
646	2190	518
647	2194	514
648	2197	511
649	2200	507
650	2204	504
651	2207	501
652	2211	497
653	2214	494
654	2217	490
655	2221	487
656	2224	484
657	2227	480
658	2231	477
659	2234	474
660	2237	470
661	2241	467
662	2244	463
663	2248	460
664	2251	457
665	2254	453
666	2258	450
667	2261	446
668	2264	443
669	2268	440
670	2271	436
671	2275	433
672	2278	429
673	2281	426
674	2285	423
675	2288	419
676	2292	416
677	2295	413
678	2298	409
679	2302	406
680	2305	402
681	2308	399
682	2312	396
683	2315	392
684	2318	389
685	2322	385
686	2325	382
687	2329	379
688	2332	375
689	2335	372
690	2339	368
691	2342	365
692	2346	362
693	2349	358
694	2353	355
695	2356	352
696	2359	348
697	2363	345
698	2366	341
699	2369	338
700	2373	335
701	2376	331
702	2380	328
703	2383	324
704	2386	321
705	2390	318
706	2393	314
707	2396	311
708	2400	308
709	2403	304
710	2406	301
711	2410	297
712	2413	294
713	2417	291
714	2420	287
715	2423	284
716	2427	280
717	2430	277
718	2434	274
719	2437	270
720	2440	267
721	2444	264
722	2447	260
723	2450	257
724	2454	253
725	2457	250
726	2460	247
727	2464	243
728	2467	240
729	2471	236
730	2474	233
731	2477	230
732	2481	226
733	2484	223
734	2488	220
735	2491	216
736	2494	213
737	2498	209
738	2501	206
739	2504	203
740	2508	199
741	2511	196
742	2514	192
743	2518	189
744	2521	186
745	2524	182
746	2528	179
747	2532	176
748	2535	172
749	2539	169
750	2542	165
751	2545	162
752	2549	159
753	2552	155
754	2555	152
755	2559	148
756	2562	145
757	2566	142
758	2569	138
759	2572	135
760	2576	132
